상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
중앙길,76221,37022,39199,2791,22891,15642,12039,11583,11275
중앙로1길,33526,17318,16208,5348,6106,5131,6005,6198,4737
중앙로34길,60256,31331,28925,4266,10561,10922,12821,12269,9417
중앙로45길,40913,20367,20546,1036,7724,8584,7067,8827,7675
중앙로46길,51458,26458,25000,3763,9161,10520,9513,9820,8681
중앙로6길,109599,66818,42781,21905,42286,12885,12476,11720,8326
증가로10길,138908,68199,70708,32017,73256,10455,9922,7866,5391
증가로12나길,78887,38527,40360,13663,33333,9530,9040,8457,4865
증가로20길,59808,29625,30182,9436,18961,8673,8693,8089,5956
증가로24바길,13018,6259,6758,1364,2797,2443,2126,2072,2216
증가로25길,2186,1058,1128,168,381,324,668,328,317
증가로29길,21137,10824,10313,901,4332,4015,3425,4383,4081
증가로8길,73367,37705,35661,12233,32274,8298,7501,7032,6029
증산로15길,35852,19581,16271,1501,5271,5284,7248,8498,8051
증산로17길,63556,33166,30389,3550,12048,10599,12732,12760,11867
증산로23길,72242,35979,36263,5962,15768,13814,12968,12993,10737
증산로3길,25516,13882,11633,297,5966,5456,4351,4889,4556
증산로9길,41906,23215,18691,2542,6701,7499,8402,10271,6492
증산서길,66825,36208,30617,2092,14478,12682,12796,13903,10873
지봉로17길,14606,7425,7182,638,2924,3236,2637,2796,2375
지양로3길,4637,2649,1988,209,562,840,1092,1206,729
진흥로12길,21543,10538,11005,785,4190,4481,3774,4034,4281
진흥로1길,187909,88675,99233,9449,36945,40313,36436,35931,28835
진흥로7길,60372,28378,31994,1213,11443,12596,12250,12735,10134
창경궁로13길,6790,4818,1972,27,1029,1072,1171,1626,1865
창경궁로1길,7453,4883,2570,77,1076,1262,1524,2021,1493
창경궁로27길,38572,19936,18636,5265,20387,4975,3440,2577,1929
창경궁로35길,33029,15312,17717,2373,9369,6044,5654,5142,4446
창경궁로43길,81888,38479,43408,6728,23051,15899,13665,12878,9667
창덕궁1길,47035,29605,17430,2404,8939,14468,10143,7040,4042
창덕궁길,28349,18788,9560,1691,5667,9960,5850,3882,1298
창신3길,7600,3839,3761,266,1114,1169,1490,2084,1477
창신6길,23656,11656,12000,848,3931,3910,4685,5774,4508
창신길,97495,48120,49374,2869,17778,16926,19034,24215,16674
창의문로11길,1445,608,836,8,469,268,233,256,210
천장산로4길,49249,23681,25568,6442,31206,4127,3178,2748,1549
천장산로7길,98428,48123,50304,16613,62276,6678,5550,4547,2764
천장산로9길,54256,26706,27550,9314,33659,3632,3172,2617,1863
천중로40길,34144,17247,16897,1789,7248,7999,6371,5773,4964
천중로50길,149508,75668,73840,7850,31002,30704,27611,28555,23787
천호대로111길,129147,65384,63763,4441,36213,32338,19141,21176,15838
천호대로134길,26071,13152,12919,3360,4303,4873,5151,4692,3691
천호대로13길,98913,56615,42299,9169,29270,19165,16003,14813,10493
천호대로16길,20325,11510,8815,226,4469,4550,3857,3847,3376
천호대로170길,186863,89658,97205,8990,35899,44496,34539,35339,27600
천호대로17길,37005,18717,18288,1005,9761,8222,6718,5728,5571
천호대로27길,35359,18120,17239,1548,8516,6592,5952,6590,6159
천호대로77나길,8804,4594,4210,82,1711,2164,1899,1713,1235
천호옛14길,75733,38229,37504,4264,25709,16426,11285,10273,7777
청계천로10나길,25260,14458,10802,528,4419,6109,5487,5379,3338
청계천로12가길,27223,15865,11358,528,4873,6498,6074,5819,3431
청구로17길,46605,23949,22656,2831,12124,9407,8739,8002,5503
청구로21길,41926,21698,20228,1579,10914,8507,8231,7450,5245
청구로3길,176493,84827,91666,10264,39491,38343,31049,31608,25739
