상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
청파로49길,146,97,49,1,26,34,40,22,23
청파로85길,187,87,100,0,38,59,45,30,15
청파로93길,164,69,95,2,35,46,35,32,14
청황길,28,16,12,0,1,4,9,8,6
초록마을로8길,199,68,131,1,22,39,55,44,38
충정로4길,4428,2046,2382,18,965,1837,1052,350,206
충정로5길,430,305,125,1,68,105,128,82,46
충정로6길,2042,1243,799,0,120,574,843,491,14
충정로9길,407,299,108,2,45,92,132,96,40
탑골로2길,86,37,49,1,6,19,21,28,11
탑골로4길,195,64,131,0,31,52,46,54,12
토정로11길,624,326,298,2,97,140,118,144,123
토정로31길,2113,1089,1024,8,465,534,512,353,241
토정로37길,1676,857,819,6,328,413,400,251,278
통일로12길,110,64,46,1,14,19,24,26,26
통일로14길,440,113,327,0,119,135,103,47,36
통일로25길,92,33,59,0,25,18,23,15,11
통일로37길,366,118,248,0,77,102,102,54,31
통일로39가길,217,106,111,0,12,22,47,71,65
통일로40길,114,32,82,0,7,13,23,26,45
통일로63길,86,25,61,0,5,11,34,20,16
통일로66길,13,2,11,0,0,4,0,7,2
통일로67길,171,58,113,2,27,37,46,32,27
통일로68길,190,89,101,3,24,56,55,30,22
통일로69길,69,27,42,0,2,10,32,13,12
통일로71길,52,23,29,0,4,11,17,12,8
통일로73길,207,97,110,0,19,21,51,57,59
통일로77길,82,40,42,1,12,25,24,10,10
통일로78길,400,131,269,6,81,88,86,88,51
통일로83길,404,205,199,4,44,108,116,79,53
통일로85길,234,108,126,4,19,52,69,59,31
통일로87길,274,156,118,2,25,43,70,87,47
통일로92길,300,68,232,1,38,52,104,72,33
퇴계로10길,98,45,53,0,13,24,17,23,21
퇴계로20길,7762,2741,5021,36,2888,3323,1150,280,85
퇴계로28길,696,347,349,1,243,149,139,112,52
퇴계로32길,186,95,91,0,20,50,53,36,27
퇴계로46길,284,198,86,0,23,75,75,67,44
퇴계로4길,1044,435,609,9,214,305,233,165,118
퇴계로53길,591,242,349,8,373,111,48,32,19
퇴계로56길,204,133,71,0,18,44,54,52,36
퇴계로74길,209,76,133,0,37,39,47,56,30
퇴계로76길,425,172,253,2,83,76,101,104,59
퇴계로83길,131,98,33,1,10,42,36,29,13
퇴계로87길,1333,830,503,5,261,326,266,282,193
퇴계로88길,2296,994,1302,14,590,967,528,119,78
퇴계로8길,16634,7852,8782,67,2239,5772,5303,3002,251
퇴계로90길,508,189,319,1,78,134,121,114,60
팔판길,95,48,47,0,10,20,24,30,11
평창11길,397,188,209,1,43,86,74,105,88
평창길,506,236,270,0,50,117,105,119,115
포방터길,42,20,22,0,3,10,13,7,9
풍성로25길,30,16,14,0,5,3,7,7,8
풍성로37가길,135,29,106,0,23,32,25,31,24
풍성로54길,77,29,48,2,8,14,30,16,7
필운대로1길,470,174,296,0,46,138,149,79,58
필운대로5가길,52,21,31,0,11,19,13,9,0
필운대로6길,588,256,332,3,192,222,100,40,31
필운대로7길,13,8,5,0,1,2,9,0,1
학동로20길,521,307,214,4,120,148,146,61,42
한강대로104마길,23,10,13,0,2,5,4,7,5
한강대로10길,78,30,48,0,12,23,19,17,7
한강대로15길,861,464,397,4,140,197,183,193,144
한강대로21길,384,186,198,0,36,52,57,136,103
한강대로23길,134,68,66,1,5,22,19,35,52
한강대로38길,4264,3357,907,0,230,1036,1794,1156,48
한강대로40길,4885,3657,1228,2,310,1151,1949,1330,143
한강대로43길,875,488,387,4,115,224,267,151,114
한강대로52길,690,475,215,0,118,201,152,115,104
한강대로62가길,673,255,418,1,67,195,198,174,38
한강대로62길,714,439,275,0,114,227,174,122,77
한강대로62다길,5217,3538,1679,11,586,1274,1983,1273,90
한강대로7길,1855,542,1313,36,803,537,178,110,191
한강대로88길,1626,1137,489,7,206,418,377,261,357
한강대로96길,26,3,23,1,5,8,2,7,3
한글비석로1길,182,70,112,1,12,40,35,52,42
한글비석로20길,180,101,79,0,12,32,58,53,25
한글비석로23길,234,79,155,0,43,41,54,62,34
한글비석로46길,266,109,157,2,32,39,83,63,47
한글비석로48길,44,18,26,0,1,7,12,15,9
한남대로20길,328,163,165,0,107,132,45,28,16
한남대로21길,60,29,31,0,11,15,18,8,8
한남대로27길,329,169,160,4,111,102,58,30,24
한남대로42길,240,138,102,0,67,72,54,28,19
한림말1길,228,141,87,0,39,47,63,55,24
한림말3길,148,83,65,0,22,25,41,39,21
한림말길,300,106,194,0,44,56,89,81,30
한천로101가길,210,118,92,0,23,36,56,67,28
한천로11길,814,502,312,0,98,141,194,198,183
한천로130길,236,120,116,1,16,53,69,57,40
한천로131길,234,132,102,0,19,30,53,73,59
한천로132길,339,141,198,2,50,66,88,83,50
한천로143길,1923,1025,898,1,169,548,488,570,147
한천로144길,141,74,67,0,11,23,36,38,33
한천로14길,1795,1113,682,20,360,421,456,356,182
한천로150길,184,104,80,0,19,32,45,52,36
한천로155길,376,140,236,0,31,50,94,99,102
한천로170길,215,81,134,3,25,31,54,66,36
한천로17길,196,130,66,0,31,44,74,22,25
한천로18길,149,63,86,0,20,34,28,38,29
한천로24길,743,424,319,1,99,188,203,177,75
한천로33길,286,100,186,0,23,43,105,83,32
한천로36길,247,118,129,1,28,45,66,71,36
한천로46길,224,111,113,1,55,47,61,37,23
한천로78길,187,111,76,1,13,35,63,47,28
한천로80길,84,67,17,1,6,11,29,27,10
해등로16길,183,71,112,0,30,44,65,34,10
해등로26길,64,16,48,0,16,12,14,14,8
행당로17길,207,88,119,0,37,51,50,41,28
행당로1길,117,29,88,0,17,40,35,19,6
행당로8길,146,39,107,0,10,32,43,53,8
행운1길,478,262,216,3,97,128,125,78,47
행운길,1031,703,328,13,165,288,257,199,109
혜화로14길,218,92,126,0,55,76,37,22,28
혜화로3길,22,14,8,0,8,2,5,4,3
호암로18길,26,13,13,0,0,4,8,8,6
호암로22길,64,31,33,1,2,16,21,13,11
호암로26길,628,223,405,0,72,105,142,181,128
홍릉로29길,27,10,17,0,3,5,5,9,5
홍릉로5길,253,123,130,2,20,46,77,72,36
홍연길,127,77,50,0,3,15,50,46,13
홍은중앙로8길,34,17,17,0,5,8,8,6,7
홍은중앙로9길,179,66,113,1,22,36,42,56,22
홍제내2나길,92,37,55,0,9,13,29,27,14
홍제내길,237,145,92,0,19,38,71,75,34
홍제천로2길,46,31,15,0,6,8,14,13,5
홍지문2길,90,10,80,0,9,7,16,50,8
홍지문길,118,35,83,0,9,13,18,53,25
화계사길,537,522,15,0,5,51,204,231,46
화곡로15길,319,139,180,0,27,58,79,99,56
화곡로20길,290,129,161,3,44,52,79,82,30
화곡로25길,273,129,144,2,44,57,57,62,51
화곡로31길,165,83,82,0,30,47,43,24,21
화곡로42길,120,52,68,0,6,32,33,24,25
화랑로11길,40,19,21,0,8,12,7,10,3
화랑로18나길,29,21,8,0,4,3,9,12,1
화랑로19길,108,56,52,0,3,12,30,38,25
화랑로25길,41,19,22,0,4,17,8,5,7
화랑로32길,728,469,259,9,127,233,197,112,50
화랑로40길,256,173,83,1,22,40,66,83,44
화랑로43길,78,32,46,1,15,12,25,17,8
화랑로45길,63,11,52,0,0,2,10,28,23
화랑로47길,50,2,48,0,0,1,6,25,18
화랑로51길,221,87,134,0,19,24,50,82,46
화랑로53길,2,2,0,0,0,0,0,1,1
화랑로5길,369,141,228,0,59,86,113,81,30
환일길,160,84,76,0,24,59,43,22,12
황물로15길,598,428,170,0,65,132,179,138,84
황물로3길,772,544,228,5,139,170,164,134,160
회기로21길,38,20,18,0,1,16,12,7,2
회기로23길,95,47,48,0,10,33,26,17,9
회기로28길,175,99,76,0,20,39,34,38,44
회기로29길,162,70,92,0,30,26,55,40,11
회나무로13길,124,50,74,0,23,30,32,20,19
회나무로13나길,423,261,162,0,66,211,101,27,18
회나무로44길,392,215,177,5,166,121,53,22,25
효령로29길,792,331,461,3,239,136,138,166,110
효령로34길,1731,1046,685,42,474,489,341,228,157
효령로40길,894,533,361,2,181,309,247,112,43
효령로67길,3599,1511,2088,13,1268,1039,674,421,184
효령로68길,562,374,188,2,79,157,180,101,43
효령로74길,562,406,156,2,111,177,134,81,57
효창원로39길,64,24,40,1,17,14,15,11,6
효창원로62길,233,129,104,1,41,78,66,27,20
효창원로8길,283,203,80,2,36,115,78,32,20
효창원로93길,794,463,331,0,57,206,273,225,33
효창원로98길,599,393,206,0,47,88,171,161,132
후암로23길,61,33,28,0,1,9,13,29,9
후암로30길,42,15,27,1,12,7,7,11,4
후암로35길,64,33,31,0,5,11,14,24,10
후암로4길,1396,725,671,0,176,266,286,499,169
휘경로23길,59,24,35,0,3,9,15,19,13
휘경로2길,151,63,88,3,28,37,33,35,15
휘경로3길,119,48,71,1,30,24,26,28,10
희우정로16길,169,102,67,1,31,42,60,24,11
