상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
도봉로165길,147,36,111,1,17,14,24,43,48
도봉로169나길,233,96,137,2,22,35,55,63,56
도봉로18길,140,57,83,0,10,25,40,36,29
도봉로20가길,318,180,138,1,41,64,89,82,41
도봉로28길,89,49,40,0,9,18,31,21,10
도봉로29길,121,42,79,0,9,23,37,33,19
도봉로30길,99,45,54,0,12,17,36,26,8
도봉로35길,197,92,105,0,12,43,59,66,17
도봉로38길,134,70,64,1,21,23,37,40,12
도봉로46길,96,41,55,0,8,24,28,20,16
도봉로53길,383,151,232,4,51,59,115,87,67
도봉로57길,96,48,48,0,10,12,28,21,25
도봉로73길,64,29,35,0,3,6,19,23,13
도봉로78길,861,331,530,6,121,141,228,192,173
도봉로81길,338,185,153,1,39,35,65,77,121
도봉로87길,56,34,22,0,9,13,19,11,4
도봉로8길,50,28,22,2,12,10,9,9,8
도봉산3길,224,109,115,0,37,28,60,50,49
도신로15길,387,240,147,1,38,47,88,69,144
도신로19길,99,48,51,1,9,31,28,20,10
도신로29길,121,54,67,1,22,21,28,28,21
도영로7길,83,44,39,5,16,12,22,19,9
도화2길,21,7,14,0,7,6,5,2,1
도화4길,382,244,138,0,48,83,104,66,81
도화길,174,60,114,0,49,46,39,27,13
독립문로8길,311,114,197,0,34,58,71,96,52
독막로19길,361,242,119,1,99,142,70,31,18
독막로22길,294,72,222,7,131,83,45,14,14
독막로32길,296,161,135,6,34,69,94,49,44
독막로8길,396,264,132,5,82,113,86,64,46
독산로107길,118,49,69,0,4,16,19,42,37
독산로108길,1858,1457,401,3,113,128,141,255,1218
독산로10길,244,92,152,0,30,33,73,76,32
독산로22길,218,56,162,0,20,29,68,71,30
독산로28길,47,19,28,0,2,5,12,22,6
독산로32길,29,18,11,0,1,6,7,12,3
독산로35길,92,27,65,0,5,14,38,27,8
독산로36길,46,8,38,0,3,9,21,11,2
독산로38길,122,54,68,0,14,18,40,40,10
독산로39길,159,46,113,0,19,25,56,44,15
독산로40길,283,124,159,0,27,44,87,84,41
독산로44길,123,47,76,0,11,16,43,40,13
독산로64길,197,158,39,0,14,11,32,58,82
독산로70길,103,31,72,1,21,15,31,28,7
독산로74길,65,26,39,0,5,12,18,21,9
독산로80길,159,48,111,1,30,22,48,43,15
독산로85길,67,29,38,0,9,6,15,23,14
독산로87길,76,28,48,0,4,9,26,21,16
독서당로51길,263,127,136,1,60,73,48,48,33
돈화문로4길,515,357,158,2,44,112,126,123,108
돌곶이로22나길,178,51,127,0,23,45,67,39,4
돌곶이로23길,218,97,121,2,43,67,52,34,20
돌곶이로25길,309,212,97,0,12,31,53,57,156
돌곶이로27길,343,219,124,0,28,34,56,65,160
동광로12가길,365,144,221,3,192,66,46,37,21
동광로1길,2096,1375,721,2,410,761,507,285,131
동광로3길,394,268,126,4,71,97,102,69,51
동교로18길,531,232,299,1,108,187,154,50,31
동교로38길,41,22,19,0,15,18,6,2,0
동교로39길,68,36,32,0,15,20,18,10,5
동교로46길,45,24,21,0,15,25,2,1,2
동교로9길,2213,795,1418,8,192,257,227,314,1215
동남로81길,168,44,124,0,13,16,27,42,70
동남로8길,904,472,432,2,139,204,235,188,136
동산로12길,426,290,136,3,53,131,128,75,36
동산로13길,295,189,106,0,31,91,93,57,23
