상권코드명,유사업종점포수,평균영업개월수,당월매출금액,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액
일원로9길,15,298,109182640,47.1,52.9,2.6,43.9,24.4,16.7,8.1,4.4,41000213,60498626,1967892,46389487,23510310,16435124,8293258,4902772
자동차시장1길,1,9,15733125,43.5,56.5,0.8,26,37.8,28,6.3,1.1,5594839,10138286,78773,2934133,4544098,7439170,623023,113928
자양로15길,13,217.5,93139710,43.4,56.6,2.2,29,24.1,22.9,15.7,6.1,39201864,47661248,1495940,23526669,20296849,20755236,14801361,5987055
자양번영로1길,4,22,2838617,73.3,26.8,6.5,30.8,26.3,13.8,19.5,3.3,1732468,774980,77922,559312,825655,388716,584416,71429
자하문로10길,7,40.16666667,73809295,31.3,68.7,1.4,55.5,22.4,12.5,6.5,1.7,19643200,47340337,858947,36839575,15536683,7658454,4650262,1439616
자하문로24길,6,163,64887652,52.2,47.8,0.9,30.6,30.8,20.4,13.4,3.9,31650804,29761129,442702,17058983,18882396,13352772,9331761,2343320
자하문로33길,1,28,2950497,37,63,0,4.3,34.6,48,8.7,4.3,708729,1526740,0,54144,720552,1011050,234254,215470
자하문로41길,2,25,2245310,54.1,45.9,0,15.4,27.3,15.4,35.6,6.4,937561,977586,0,235055,596879,401631,499517,182065
자하문로5길,9,181,210568425,39,61,0.8,23.2,33.6,26.4,12,4,70223925,94942185,839718,39027531,50950105,44362283,22859303,7127170
자하문로7길,20,271,237013739,38.8,61.2,1.1,27.5,31.6,24.4,11.8,3.6,82610386,117330768,1871588,57324792,58305738,48741515,25827187,7870339
자하문로9길,12,173,66996748,33.6,66.4,1.7,49.1,27.9,11.3,8,2,19388045,41362904,1036121,30342158,16462625,6838986,4867474,1203588
잔다리로7안길,25,391,351555933,35,65,1.3,44.5,33.6,12.4,6.3,1.8,110294517,201714296,5236613,150522826,97083797,34136040,19664717,5364820
잠원로14길,1,1,2393860,22.4,77.6,0,3.3,35.2,48.4,6.6,6.6,350877,1242105,0,43860,623684,767544,65789,92105
장군봉1길,6,82,56771994,41.7,58.3,3.3,36.7,31.1,14.1,9.4,5.5,23415215,29083165,1151072,16092820,16970267,8839034,5795258,3649930
장군봉2길,5,70.5,20146499,67.4,32.6,0,23,28.9,8.4,22.1,17.6,17238214,2062205,0,1478323,1547059,462352,4163532,11649154
장문로45길,2,139,13303077,47.5,52.5,2.4,39.9,26.4,10.5,8,12.8,6311006,6992071,179056,4460748,4618133,1572185,1009006,1463949
장문로6길,1,60,26019185,48.9,51.1,0.5,23.5,22,26.1,18.6,9.3,11298861,8414073,58378,3483856,4735425,5303788,3970604,2160883
장월로1길,19,184,97100922,20.3,79.7,9.2,59.8,10.9,10.1,8.4,1.6,27101122,69999800,7294151,50198796,15006207,13633068,8926661,2042039
장월로1마길,8,82,73861413,18.3,81.7,8.9,62,9.6,9.3,8.6,1.5,17708677,56152736,5650036,41042250,9403465,9129097,7272379,1364186
장월로3길,1,73,2656250,60.3,39.7,0,3,64.7,23.5,5.9,3,1452083,1058333,0,90278,1382639,627778,326389,83333
장위로38길,1,21,2241177,54.9,45.1,1.7,16.2,29.3,28.1,18.3,6.4,1052852,939145,80000,256923,488063,581390,445633,139989
