상권코드명,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수
동일로193길,1025,505,520,157,144,161,159,171,233
동일로195길,1556,744,812,288,235,216,251,265,301
동일로203가길,1298,614,684,291,213,203,300,212,79
동일로207길,1085,498,587,190,142,128,181,148,296
동일로208길,952,471,481,189,107,173,192,114,177
동일로217길,67,41,26,6,12,5,17,13,14
동일로231길,1043,509,534,197,184,127,157,200,178
동일로239길,2198,1121,1077,346,331,266,385,373,497
동일로241가길,1210,603,607,151,216,179,170,218,276
동일로242가길,550,252,298,70,98,91,86,82,123
동일로242길,937,463,474,156,134,144,112,163,228
동일로242다길,530,270,260,76,79,53,88,94,140
동일로243길,57,32,25,4,11,12,10,11,9
동일로72길,2328,1127,1201,358,355,374,424,392,425
동일로99길,2633,1339,1294,440,333,390,475,440,555
동작대로7길,1545,751,794,92,361,324,179,247,342
동호로11길,1988,952,1036,243,311,304,348,274,508
동호로14길,735,328,407,92,140,185,106,91,121
동호로15길,2361,1104,1257,290,324,336,425,351,635
동호로25길,1408,756,652,169,438,249,169,164,219
두산로13길,256,161,95,16,48,62,41,45,44
두산로5길,1347,799,548,105,305,436,195,131,175
두텁바위로15길,342,178,164,56,43,38,68,56,81
두텁바위로58길,1830,889,941,255,265,303,315,272,420
둘레15길,872,467,405,110,116,147,143,168,188
둘레길,5733,3002,2731,763,886,796,976,1162,1150
등촌로39길,3309,1685,1624,546,513,564,518,549,619
등촌로55길,2023,985,1038,282,366,582,282,244,267
등촌로5가길,3636,1723,1913,473,532,691,544,600,796
디지털로27길,3780,1895,1885,458,439,525,606,713,1039
디지털로32길,297,156,141,23,51,57,59,49,58
디지털로32나길,1058,537,521,73,248,385,164,109,79
디지털로38길,780,385,395,62,137,153,81,121,226
디지털로54길,1250,602,648,166,130,157,200,228,369
디지털로57길,1501,728,773,190,178,158,240,288,447
뚝섬로27길,3837,1911,1926,382,616,669,545,720,905
뚝섬로56길,2461,1205,1256,471,348,420,433,360,429
마른내로12길,431,219,212,21,115,123,55,57,60
마방로4길,2272,1139,1133,359,333,504,387,321,368
마장로35길,522,266,256,92,70,71,74,98,117
마장로35나길,273,133,140,54,45,35,54,44,41
마장로9길,1066,575,491,83,180,208,134,182,279
마천로51길,4121,2093,2028,545,465,529,651,806,1125
마천로57길,1985,1019,966,304,227,292,344,321,497
마천로7길,1290,627,663,230,220,175,186,256,223
마포대로12길,296,139,157,29,33,60,42,36,96
마포대로14길,896,447,449,101,123,173,168,128,203
마포대로16길,633,328,305,81,93,95,106,101,157
마포대로4길,851,413,438,120,130,158,133,123,187
만리재로24길,1636,822,814,214,245,251,281,305,340
만리재로35길,996,528,468,132,101,158,150,164,291
만리재옛길,4048,1947,2101,423,570,612,690,670,1083
망우로10길,1238,628,610,160,370,202,134,137,235
망우로14길,2028,1048,980,214,470,305,281,289,469
망우로16길,1923,1007,916,218,671,285,213,223,313
망우로18다길,970,504,466,82,352,115,102,115,204
망우로32길,136,65,71,8,45,32,16,16,19
매봉길,5529,2658,2871,883,747,1451,861,808,779
면목로27길,2080,1061,1019,306,304,289,354,381,446
면목로33길,7624,3806,3818,1170,1070,1114,1306,1345,1619
면목로35길,1237,621,616,162,148,173,212,207,335
면목로48길,4809,2308,2501,574,805,773,741,841,1075
면목로54길,3907,1926,1981,478,619,585,631,737,857
면목로74길,429,218,211,26,59,64,62,83,135
면목로91길,1645,776,869,138,338,332,207,271,359
면목로92길,848,424,424,82,138,186,112,138,192
면목천로23길,4107,2120,1987,512,608,621,639,780,947
명동길,26,10,16,1,4,4,8,3,6
명륜길,1336,687,649,127,384,187,150,165,323
명지대길,1438,699,739,164,357,196,185,223,313
목동남로4길,1837,903,934,292,279,212,305,334,415
목동중앙남로10길,1217,603,614,220,212,176,215,204,190
목동중앙남로13길,1238,618,620,203,196,254,189,192,204
목동중앙남로4길,750,364,386,156,93,97,143,127,134
목동중앙본로7길,2021,995,1026,360,320,330,324,334,353
목동중앙북로7길,178,75,103,12,33,47,18,24,44
목동중앙북로8라길,1636,758,878,232,241,304,244,261,354
목동중앙서로7길,2979,1501,1478,517,482,432,534,528,486
무수막길,3181,1563,1618,432,420,456,508,518,847
무학로14길,1483,733,750,196,229,220,247,262,329
무학로30길,1151,581,570,149,196,187,188,158,273
무학로43길,1015,549,466,133,163,121,163,192,243
무학봉15길,1494,790,704,142,190,194,238,289,441
무학봉길,2756,1333,1423,295,443,372,409,510,727
문성로30길,1128,567,561,136,216,215,177,137,247
미성길,1769,875,894,261,268,259,279,297,405
바람드리길,2866,1397,1469,315,343,456,482,473,797
바우뫼로37길,540,285,255,53,79,138,83,74,113
바우뫼로39길,5231,2501,2730,655,837,1205,780,711,1043
반포대로12길,16,7,9,4,2,1,5,1,3
반포대로19길,277,138,139,38,47,45,48,52,47
반포대로21길,1313,663,650,264,192,202,236,213,206
반포대로22길,278,136,142,26,38,40,59,45,70
반포대로9길,3124,1500,1624,544,495,467,533,451,634
방배로15길,2660,1235,1425,409,381,545,469,365,491
방배로23길,1881,879,1002,294,299,373,334,232,349
방배로31길,5570,2574,2996,889,792,1080,944,778,1087
방배로42길,614,283,331,125,87,98,108,91,105
방배로6길,372,183,189,45,65,62,54,64,82
방배천로4안길,1104,519,585,171,198,209,166,160,200
방울내로7길,1636,791,845,218,247,342,278,235,316
방학로6길,5275,2599,2676,664,755,665,824,1002,1365
방화동로5길,1904,918,986,154,307,281,270,336,556
백범로16길,621,319,302,62,81,97,94,106,181
백범로25길,2286,1072,1214,365,364,346,359,361,491
백범로26길,61,30,31,4,6,8,12,5,26
백범로77길,1843,898,945,250,273,358,303,254,405
백범로87길,157,98,59,10,14,15,17,33,68
백범로90다길,1505,720,785,260,212,439,241,181,172
백범로90라길,1024,497,527,164,141,294,154,122,149
백석동길,1733,847,886,251,255,256,317,290,364
백제고분로12길,4580,2141,2439,731,720,1040,810,604,675
백제고분로18길,4625,2179,2446,725,770,956,747,700,727
백제고분로19길,5464,2555,2909,739,928,1236,875,798,888
백제고분로21길,2279,1102,1177,256,360,582,369,358,354
백제고분로27길,5346,2491,2855,765,846,1165,910,765,895
백제고분로31길,4292,1982,2310,636,656,980,755,584,681
백제고분로32길,19310,9263,10047,3036,2982,4210,3264,2766,3052
백제고분로34길,5871,2890,2981,868,906,1268,981,852,996
백제고분로39길,3368,1558,1810,450,588,796,489,470,575
백제고분로40길,6775,3233,3542,1037,1013,1336,1125,1022,1242
백제고분로41길,5897,2754,3143,726,1041,1465,834,813,1018
백제고분로42길,3299,1567,1732,391,542,745,550,480,591
백제고분로45길,3728,1809,1919,504,681,861,549,535,598
백제고분로46길,3573,1715,1858,567,576,760,575,521,574
백제고분로50길,5763,2835,2928,836,963,1094,887,908,1075
범안로17길,1856,970,886,241,315,380,312,275,333
법원단지5길,2072,1021,1051,337,293,309,360,371,402
법원단지길,5461,2760,2701,865,857,752,893,923,1171
보국문로11길,529,270,259,62,84,72,81,77,153
보국문로16길,1167,561,606,169,162,198,182,187,269
보국문로18길,1226,591,635,155,181,191,196,209,294
보국문로8길,3388,1664,1724,466,524,445,537,565,851
보라매로2길,672,332,340,74,141,139,94,81,143
보문로13다길,2144,1037,1107,316,326,364,401,318,419
보문로19길,857,447,410,113,139,130,143,133,199
보문로23길,1591,778,813,190,295,271,246,245,344
보문로29다길,630,314,316,113,88,93,128,80,128
보문로30가길,1411,595,816,131,430,257,183,171,239
보문로34길,740,246,494,56,301,173,76,51,83
보문로34나길,2590,1058,1532,237,689,427,361,293,583
보문로37길,231,104,127,20,49,54,42,25,41
보문로3길,334,193,141,17,30,18,57,71,141
복은길,3451,1807,1644,390,736,691,479,476,679
봉우재로14길,650,336,314,97,76,79,107,127,164
봉우재로28길,1412,707,705,203,190,254,218,242,305
봉우재로33길,1536,772,764,152,233,262,227,287,375
봉우재로70길,2674,1322,1352,354,352,366,434,508,660
봉천로13길,2390,1203,1187,322,435,397,342,343,551
봉천로23길,2328,1131,1197,288,438,439,336,318,509
봉천로23나길,1564,786,778,198,302,348,202,203,311
봉천로30길,171,92,79,11,25,21,28,22,64
봉천로31길,776,379,397,81,169,154,115,88,169
