상권코드명,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수
진흥로1길,6587,3153,3434,1036,942,1132,1128,1016,1333
진흥로7길,4324,2069,2255,685,573,784,685,654,943
창경궁로13길,50,36,14,0,3,1,9,17,20
창경궁로1길,64,42,22,4,6,5,7,15,27
창경궁로27길,922,446,476,83,285,169,112,101,172
창경궁로35길,929,439,490,123,202,143,124,134,203
창경궁로43길,1758,798,960,189,356,324,318,238,333
창덕궁1길,1360,633,727,199,171,185,246,192,367
창덕궁길,1513,714,799,214,178,223,265,248,385
창신3길,88,47,41,8,13,9,11,22,25
창신6길,837,435,402,65,95,80,149,163,285
창신길,3541,1799,1742,427,496,413,575,713,917
창의문로11길,280,144,136,44,34,28,50,50,74
천장산로4길,2223,1157,1066,236,497,344,303,352,491
천장산로7길,1020,523,497,89,514,126,83,76,132
천장산로9길,435,247,188,33,201,64,28,52,57
천중로40길,1298,648,650,178,155,239,197,235,294
천중로50길,4011,1984,2027,572,570,720,631,671,847
천호대로111길,2219,1077,1142,271,396,468,341,338,405
천호대로134길,1550,773,777,256,214,270,258,246,306
천호대로13길,672,354,318,74,110,119,121,101,147
천호대로16길,1290,668,622,196,183,209,211,213,278
천호대로170길,2558,1287,1271,354,384,552,388,386,494
천호대로17길,783,397,386,87,119,130,125,131,191
천호대로27길,328,198,130,11,56,33,45,62,121
천호대로77나길,456,232,224,45,71,60,70,109,101
천호옛14길,676,341,335,77,102,118,90,112,177
청계천로10나길,1424,729,695,196,230,187,221,247,343
청계천로12가길,1055,548,507,127,186,136,168,194,244
청구로17길,1892,930,962,275,295,324,313,299,386
청구로21길,2430,1191,1239,333,407,405,390,403,492
청구로3길,4254,2111,2143,485,699,660,678,728,1004
청두곶길,3874,1845,2029,608,574,666,633,552,841
청룡3길,2620,1261,1359,118,1141,666,226,207,262
청룡4길,1780,866,914,173,310,299,254,277,467
청룡7길,3832,1811,2021,180,1636,959,353,294,410
청룡8길,3646,1783,1863,385,749,697,511,497,807
청룡길,3538,1769,1769,277,909,726,459,451,716
청룡중앙길,2433,1198,1235,262,546,423,335,347,520
청림2길,1048,537,511,124,147,194,149,140,294
청림5길,4677,2366,2311,742,651,654,764,752,1114
청림길,758,387,371,83,114,119,105,125,212
청파로43길,1355,589,766,113,362,262,174,159,285
청파로45길,408,183,225,36,109,84,48,56,75
청파로47길,1011,393,618,100,322,173,125,111,180
청파로49길,504,215,289,49,135,92,73,47,108
청파로85길,1539,796,743,171,230,254,241,305,338
청파로93길,473,250,223,47,73,83,75,77,118
청황길,43,26,17,4,4,5,11,12,7
초록마을로8길,8273,4014,4259,1575,1102,1633,1416,1118,1429
충정로4길,720,351,369,89,107,136,117,102,169
충정로5길,106,62,44,8,22,15,17,18,26
충정로6길,300,164,136,22,59,56,31,41,91
충정로9길,281,130,151,21,85,89,34,24,28
탑골로2길,1403,684,719,238,183,199,241,222,320
탑골로4길,1014,523,491,164,123,109,182,151,285
토정로11길,514,249,265,53,107,148,73,55,78
토정로31길,199,96,103,19,29,33,32,37,49
토정로37길,44,24,20,5,9,7,8,12,3
통일로12길,1814,847,967,259,268,233,344,253,457
통일로14길,421,196,225,39,30,40,48,69,195
통일로25길,655,319,336,95,94,83,100,120,163
통일로37길,990,446,544,81,112,110,154,200,333
통일로39가길,818,387,431,85,129,92,113,165,234
통일로40길,289,143,146,31,37,29,46,51,95
통일로63길,1582,737,845,179,223,256,237,267,420
통일로66길,322,154,168,28,64,85,41,46,58
통일로67길,1043,458,585,100,224,265,154,111,189
통일로68길,1554,762,792,183,217,212,246,255,441
통일로69길,2277,1079,1198,310,304,350,364,377,572
통일로71길,1665,796,869,242,230,250,284,282,377
통일로73길,1965,906,1059,266,300,293,299,324,483
통일로77길,1456,678,778,163,317,294,199,196,287
통일로78길,3218,1570,1648,412,454,510,524,523,795
통일로83길,1678,808,870,207,265,320,247,262,377
통일로85길,1492,726,766,178,261,285,213,225,330
통일로87길,1429,682,747,179,235,242,248,210,315
통일로92길,9877,4877,5000,1284,1367,1394,1572,1724,2536
퇴계로10길,294,149,145,38,26,51,37,37,105
퇴계로20길,52,26,26,5,7,7,5,8,20
퇴계로28길,80,48,32,8,8,8,13,13,30
퇴계로32길,171,79,92,14,20,16,30,32,59
퇴계로46길,102,56,46,8,16,20,11,18,29
퇴계로4길,1510,792,718,98,116,166,196,245,689
퇴계로53길,385,202,183,7,14,37,50,89,188
퇴계로56길,959,494,465,94,134,129,147,160,295
퇴계로74길,244,134,110,18,22,22,44,56,82
퇴계로76길,1311,719,592,89,201,162,204,282,373
퇴계로83길,880,488,392,79,102,120,116,139,324
퇴계로87길,3417,1757,1660,306,530,588,500,580,913
퇴계로88길,1510,777,733,172,227,186,248,290,387
퇴계로8길,2636,1336,1300,220,243,311,398,422,1042
퇴계로90길,2964,1468,1496,366,469,409,518,539,663
팔판길,354,164,190,45,43,47,43,64,112
평창11길,2409,1133,1276,371,380,286,383,426,563
평창길,3485,1689,1796,510,468,426,548,611,922
포방터길,2092,1020,1072,252,293,248,313,382,604
풍성로25길,857,438,419,99,117,132,114,179,216
풍성로37가길,2545,1297,1248,302,355,438,427,485,538
풍성로54길,1904,937,967,303,282,310,295,333,381
필운대로1길,703,334,369,125,87,83,148,104,156
필운대로5가길,844,385,459,142,107,137,153,125,180
필운대로6길,715,361,354,108,89,88,125,103,202
필운대로7길,904,401,503,161,103,148,160,131,201
학동로20길,2013,937,1076,139,317,472,442,292,351
한강대로104마길,968,573,395,80,128,116,160,209,275
한강대로10길,271,138,133,37,43,42,30,50,69
한강대로15길,445,237,208,34,48,76,71,74,142
한강대로21길,162,94,68,16,18,29,23,27,49
한강대로23길,6,4,2,1,0,2,1,0,2
한강대로38길,176,79,97,4,6,15,19,50,82
한강대로40길,115,60,55,2,15,31,14,15,38
한강대로43길,864,422,442,67,118,252,136,118,173
한강대로52길,434,222,212,34,60,98,67,72,103
한강대로62가길,57,33,24,4,5,3,8,11,26
한강대로62길,898,450,448,71,153,166,128,158,222
한강대로62다길,435,225,210,48,61,101,66,69,90
한강대로7길,1096,567,529,127,94,155,165,190,365
한강대로88길,107,79,28,2,11,9,20,29,36
한강대로96길,2904,1528,1376,279,400,435,469,487,834
한글비석로1길,403,203,200,99,57,39,79,63,66
한글비석로20길,385,215,170,41,69,47,69,64,95
한글비석로23길,3249,1575,1674,479,471,408,504,565,822
한글비석로46길,5642,2851,2791,775,772,680,920,970,1525
한글비석로48길,699,314,385,114,91,95,134,119,146
한남대로20길,215,102,113,19,40,45,39,25,47
한남대로21길,54,29,25,10,8,14,11,7,4
한남대로27길,771,351,420,74,116,228,130,88,135
한남대로42길,502,231,271,64,70,93,92,77,106
한림말1길,746,353,393,101,111,152,109,92,181
한림말3길,628,290,338,86,92,120,98,75,157
한림말길,1004,451,553,158,137,219,186,137,167
한천로101가길,1021,531,490,181,123,99,187,175,256
한천로11길,3002,1524,1478,361,345,378,492,535,891
한천로130길,5246,2602,2644,660,760,821,808,887,1310
한천로131길,2547,1264,1283,257,468,446,387,365,624
한천로132길,4084,2047,2037,561,617,600,716,672,918
한천로143길,1529,701,828,123,269,243,217,230,447
한천로144길,3625,1764,1861,397,615,587,571,626,829
한천로14길,3179,1616,1563,418,440,489,503,601,728
한천로150길,4120,2050,2070,407,682,641,643,700,1047
한천로155길,1743,872,871,250,216,237,292,292,456
한천로170길,4937,2409,2528,738,704,670,807,835,1183
한천로17길,776,399,377,106,111,89,121,135,214
한천로18길,2003,1034,969,223,211,309,315,394,551
한천로24길,4627,2356,2271,587,647,885,796,799,913
한천로33길,579,286,293,87,79,74,109,106,124
한천로36길,2430,1250,1180,312,328,299,386,445,660
한천로46길,1975,1013,962,299,282,302,309,357,426
한천로78길,1108,546,562,109,191,162,169,203,274
한천로80길,1502,741,761,173,268,213,211,283,354
해등로16길,1907,916,991,305,336,270,280,368,348
해등로26길,538,265,273,93,84,65,79,126,91
행당로17길,927,450,477,105,167,147,112,176,220
행당로1길,1212,604,608,179,178,176,169,225,285
행당로8길,428,197,231,66,56,54,80,79,93
행운1길,3075,1526,1549,284,694,625,405,414,653
행운길,7484,3712,3772,615,2046,1876,890,799,1258
혜화로14길,791,371,420,145,143,130,137,108,128
혜화로3길,1370,644,726,201,361,204,172,200,232
호암로18길,1168,611,557,163,162,198,187,211,247
호암로22길,1785,1080,705,86,629,434,250,166,220
호암로26길,6855,4409,2446,382,1948,1544,1176,798,1007
홍릉로29길,289,153,136,30,53,45,43,42,76
홍릉로5길,663,331,332,65,88,70,71,127,242
홍연길,915,476,439,124,114,117,158,147,255
홍은중앙로8길,257,117,140,30,40,30,38,50,69
홍은중앙로9길,2416,1197,1219,268,276,266,386,442,778
홍제내2나길,778,364,414,130,80,109,139,121,199
홍제내길,1422,663,759,198,183,218,229,214,380
홍제천로2길,2603,1328,1275,280,372,370,374,491,716
홍지문2길,759,378,381,93,151,94,106,129,186
홍지문길,2571,1255,1316,413,450,300,419,471,518
화계사길,732,375,357,102,105,100,114,129,182
화곡로15길,5681,2724,2957,914,860,916,971,891,1129
화곡로20길,3332,1597,1735,530,459,687,508,464,684
화곡로25길,1129,562,567,90,161,208,176,196,298
화곡로31길,2536,1223,1313,276,404,471,353,427,605
화곡로42길,1501,783,718,105,295,402,252,194,253
화랑로11길,612,242,370,55,194,93,75,75,120
화랑로18나길,266,139,127,40,39,39,41,39,68
화랑로19길,1855,935,920,248,245,227,296,342,497
화랑로25길,222,113,109,25,27,29,31,30,80
화랑로32길,4529,2215,2314,550,778,580,744,736,1141
화랑로40길,2562,1316,1246,309,376,377,437,486,577
화랑로43길,724,379,345,89,83,95,97,120,240
화랑로45길,590,279,311,79,81,90,92,87,161
화랑로47길,564,280,284,87,85,78,101,79,134
화랑로51길,725,307,418,166,164,75,116,126,78
화랑로53길,37,15,22,6,6,6,7,1,11
화랑로5길,1043,509,534,159,161,126,182,148,267
환일길,3181,1507,1674,317,549,402,435,633,845
황물로15길,723,391,332,61,109,87,129,136,201
황물로3길,3351,1639,1712,291,587,530,542,587,814
회기로21길,364,181,183,35,90,61,46,43,89
회기로23길,646,315,331,66,232,94,64,78,112
회기로28길,535,280,255,27,201,149,44,38,76
회기로29길,2093,1021,1072,161,767,434,215,185,331
회나무로13길,2103,927,1176,182,244,336,335,334,672
회나무로13나길,1855,809,1046,139,207,323,288,309,589
회나무로44길,743,353,390,112,86,123,147,107,168
효령로29길,2341,1096,1245,374,314,448,415,332,458
효령로34길,1180,571,609,179,159,207,187,181,267
효령로40길,641,318,323,124,79,100,120,99,119
효령로67길,2720,1293,1427,503,379,518,452,350,518
효령로68길,742,377,365,167,90,136,140,98,111
효령로74길,989,480,509,154,159,191,179,141,165
효창원로39길,2169,1018,1151,321,288,373,363,305,519
효창원로62길,234,105,129,49,37,28,51,29,40
효창원로8길,590,299,291,106,87,79,112,85,121
효창원로93길,1743,821,922,215,309,252,275,271,421
효창원로98길,4650,2299,2351,629,868,747,769,722,915
후암로23길,559,271,288,75,71,79,89,90,155
후암로30길,1633,808,825,230,215,306,291,235,356
후암로35길,810,396,414,103,120,107,112,150,218
후암로4길,2805,1368,1437,487,411,497,436,406,568
휘경로23길,917,456,461,101,120,120,150,166,260
휘경로2길,1215,604,611,121,304,196,169,160,265
휘경로3길,2640,1296,1344,273,508,414,413,430,602
희우정로16길,3799,1792,2007,521,616,768,593,535,766
