상권코드명,상권코드,기준년월코드,서비스업종코드.x,서비스업종코드명.x,평균영업개월수,X1년이하생존율,X1.2년생존율,X2.3년생존율,X3.5년생존율,X5년이상생존율,당월매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수.x,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수,서비스업종코드.y,서비스업종코드명.y,점포수.y,유사업종점포수,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,구
개포로82길,51,201803,CS100009,커피음료,52,0,0,0,0,0,13448461.67,5360632.333,6989544.333,394213,2235444.667,2039682.667,3446590.667,2949521,1284725,3,38,28,10,0,5,12,8,7,6,CS100009,커피음료,2,4,103,48,55,2,11,16,26,36,12,15729,7212,8516,2926,2071,2118,2848,3152,2614,강남구
거북골로16길,52,201803,CS100009,커피음료,18,0,0,0,0,0,5906912,2039905,3867007,122770,875758,1339875,1831918,1347098,389493,1,550,290,260,72,76,66,85,104,147,CS100009,커피음료,1,1,39,23,16,0,2,9,15,7,6,19664,9299,10365,1535,3225,4003,3573,3914,3413,서대문구
거북골로20길,53,201803,CS100009,커피음료,152,0,0,0,0,0,12660055.6,5128871,7531184.6,188589.6,3929187,3606351.4,2781781,1590582.8,563563.8,5,2557,1214,1343,391,349,378,427,422,590,CS100009,커피음료,4,4,188,99,89,2,13,32,59,57,25,90468,45544,44924,8696,15377,16212,17438,17359,15386,서대문구
경기대로9길,57,201803,CS100009,커피음료,8,0,0,0,0,0,1696979,550690,937679,54452,962591,229070,146285,95971,0,1,625,319,306,78,121,85,98,106,137,CS100009,커피음료,2,2,598,306,292,2,108,163,142,113,70,62629,33252,29377,10636,19086,9788,9659,7681,5780,서대문구
경기대로9길,57,201803,CS100009,커피음료,8,0,0,0,0,0,1696979,550690,937679,54452,962591,229070,146285,95971,0,1,625,319,306,78,121,85,98,106,137,CS100009,커피음료,2,2,598,306,292,2,108,163,142,113,70,62629,33252,29377,10636,19086,9788,9659,7681,5780,서대문구
경기대로9길,57,201803,CS100009,커피음료,8,0,0,0,0,0,1696979,550690,937679,54452,962591,229070,146285,95971,0,1,625,319,306,78,121,85,98,106,137,CS100009,커피음료,2,2,598,306,292,2,108,163,142,113,70,62629,33252,29377,10636,19086,9788,9659,7681,5780,서대문구
경인로22길,60,201803,CS100009,커피음료,28,0,0,0,0,0,3576837,1595019,1457071,85239,864899,845478,439715,633012,183747,1,675,354,321,45,183,231,82,56,78,CS100009,커피음료,0,1,21,12,9,0,0,9,2,4,6,43618,22246,21372,2163,11350,9787,6475,7356,6487,구로구
경인로35길,61,201803,CS100009,커피음료,23,100,100,100,33.33,0,5469640.333,2029253,3440387.333,106228,1230294,1274716.667,1057466.333,985645.6667,815289.6667,3,3474,1777,1697,432,447,420,526,673,976,CS100009,커피음료,4,4,225,55,170,0,22,47,71,69,16,40264,19671,20594,3455,6515,7037,6437,9765,7056,구로구
경인로35길,61,201803,CS100009,커피음료,23,100,100,100,33.33,0,5469640.333,2029253,3440387.333,106228,1230294,1274716.667,1057466.333,985645.6667,815289.6667,3,3474,1777,1697,432,447,420,526,673,976,CS100009,커피음료,4,4,225,55,170,0,22,47,71,69,16,40264,19671,20594,3455,6515,7037,6437,9765,7056,구로구
경인로40길,62,201803,CS100009,커피음료,19,0,0,0,0,0,19253256,7894542,11358714,814747,6181259,4871814,3964533,2447133,973770,1,1231,583,648,176,122,210,174,176,373,CS100009,커피음료,1,2,305,225,80,0,40,38,65,75,87,16173,7898,8276,1245,3338,3257,2722,2930,2681,구로구
경인로47길,63,201803,CS100009,커피음료,397.3333333,100,100,100,100,100,9580210.462,4544584.462,4380084.692,815760.3077,4129408.615,1505689.692,1390491.462,820430.0769,262889.0769,13,1607,868,739,205,225,238,262,270,407,CS100009,커피음료,9,17,625,248,377,1,163,161,162,103,35,94934,57858,37075,21967,36201,10155,10766,8951,6894,구로구
