profit,livingPeople,numberStore,workingPeople,movingPeople,rent,gu,region
10794588,1016,2,22,61360,59.66666667,강북구,기타지역
701131.3333,1466,2,60,24804,59.66666667,강북구,기타지역
3770184,1406,6,507,86605,59.66666667,강북구,기타지역
6101701.5,2259,1,10,38459,59.66666667,강북구,기타지역
6482152,770,3,43,45548,59.66666667,강북구,기타지역
7127967.25,2541,4,21,22153,59.66666667,강북구,기타지역
8076416,1489,6,395,77943,59.66666667,강북구,기타지역
8954051,928,1,15,12181,59.66666667,강북구,기타지역
1917910,1978,1,26,53976,59.66666667,강북구,기타지역
5163060.429,2010,7,617,167175,59.66666667,강북구,기타지역
25574934,1481,3,96,44653,59.66666667,강북구,기타지역
6543196,929,2,20,14319,59.66666667,강북구,기타지역
5101660,2782,6,104,31245,59.66666667,강북구,기타지역
9325609.25,465,5,283,30122,59.66666667,강북구,기타지역
6769443,623,5,173,31749,59.66666667,강북구,기타지역
5943609,1015,2,37,47326,59.66666667,강북구,기타지역
9016862.143,4927,10,383,156777,59.66666667,강북구,기타지역
6332090,1313,1,58,6213,59.66666667,강북구,기타지역
2314356,3027,3,26,38716,59.66666667,강북구,기타지역
16691114.33,1631,6,228,12841,59.66666667,강북구,기타지역
13006659,3342,1,140,53483,59.66666667,강북구,기타지역
2554742,732,10,537,6968,59.66666667,강북구,기타지역
5846166,802,3,338,78664,59.66666667,강북구,기타지역
8627363,3710,9,349,107895,59.66666667,강북구,기타지역
3420464,862,1,17,14856,59.66666667,강북구,기타지역
6122009,1079,1,61,33022,59.66666667,강북구,기타지역
4762687,1360,2,197,72727,59.66666667,강북구,기타지역
8571173.5,697,5,13,59460,59.66666667,강북구,기타지역
7498144.75,3710,12,349,102991,59.66666667,강북구,기타지역
5081343,1688,2,90,10157,59.66666667,강북구,기타지역
5424627,1360,3,197,70700,59.66666667,강북구,기타지역
2571108.5,2386,3,56,31522,59.66666667,강북구,기타지역
18793971.5,1877,3,111,64944,59.66666667,강북구,기타지역
7498144.75,3710,12,349,102991,59.66666667,강북구,기타지역
2571108.5,2386,3,56,31522,59.66666667,강북구,기타지역
1959249.5,732,6,537,9659,59.66666667,강북구,기타지역
3416810,3470,2,57,77995,59.66666667,강북구,기타지역
4907787.375,2010,10,617,184532,59.66666667,강북구,기타지역
3420464,862,1,17,14856,59.66666667,강북구,기타지역
7934054,527,1,11,9509,59.66666667,강북구,기타지역
2906609.667,4120,3,184,136114,59.66666667,강북구,기타지역
9596990.667,2877,3,134,84808,59.66666667,강북구,기타지역
5461764.333,802,4,338,75001,59.66666667,강북구,기타지역
6290661.4,419,10,128,36992,59.66666667,강북구,기타지역
6352677.5,823,4,96,72224,59.66666667,강북구,기타지역
9207099,697,3,13,64217,59.66666667,강북구,기타지역
6044695,623,3,173,33124,59.66666667,강북구,기타지역
2554742,732,10,537,6968,59.66666667,강북구,기타지역
9257850.25,465,5,283,32045,59.66666667,강북구,기타지역
5697327,928,2,15,12166,59.66666667,강북구,기타지역
1871423.429,9702,9,374,114407,59.66666667,강북구,기타지역
18202889,1107,1,99,11400,59.66666667,강북구,기타지역
1016778.5,1123,1,18,12610,59.66666667,강북구,기타지역
4604027,674,3,297,35319,59.66666667,강북구,기타지역
2489969,2386,4,56,26412,59.66666667,강북구,기타지역
6122009,1079,1,61,33022,59.66666667,강북구,기타지역
6352677.5,823,4,96,72224,59.66666667,강북구,기타지역
3043535.833,3314,8,170,227994,59.66666667,강북구,기타지역
21962056.5,1877,3,111,71336,59.66666667,강북구,기타지역
7993269.667,2877,3,134,89959,59.66666667,강북구,기타지역
3683105,4120,4,184,138958,59.66666667,강북구,기타지역
19475250,247,1,33,2187,59.66666667,강북구,기타지역
8627363,3710,9,349,107895,59.66666667,강북구,기타지역
1959249.5,732,6,537,9659,59.66666667,강북구,기타지역
17944413,247,1,33,3180,59.66666667,강북구,기타지역
3584342.333,3470,4,57,66213,59.66666667,강북구,기타지역
4452593.333,7159,5,534,146565,59.66666667,강북구,기타지역
8713363.833,4543,7,416,108356,59.66666667,강북구,기타지역
14760437,1107,1,99,12723,59.66666667,강북구,기타지역
2886841,1743,2,376,73161,59.66666667,강북구,기타지역
18867457.67,1631,6,228,11337,59.66666667,강북구,기타지역
7492482.167,4543,10,416,105282,59.66666667,강북구,기타지역
8867245,527,2,11,8947,59.66666667,강북구,기타지역
1016778.5,1597,2,77,14881,59.66666667,강북구,기타지역
4338926,674,2,297,37496,59.66666667,강북구,기타지역
5111194,1688,1,90,13624,59.66666667,강북구,기타지역
2192857.5,4937,1,215,113608,59.66666667,강북구,기타지역
7504243.667,1489,5,395,83223,59.66666667,강북구,기타지역
5836600.5,206,2,27,72275,59.66666667,강북구,기타지역
2958314.5,1743,3,376,74250,59.66666667,강북구,기타지역
2036772.5,4937,1,215,107652,59.66666667,강북구,기타지역
2489969,2386,4,56,26412,59.66666667,강북구,기타지역
8516207.4,8952,10,347,178153,21.06666667,강서구,기타지역
9304059,8273,6,199,94717,21.06666667,강서구,기타지역
10125621,2043,6,222,48645,21.06666667,강서구,기타지역
3663043,4929,1,31,36593,21.06666667,강서구,기타지역
3663043,4929,1,31,36593,21.06666667,강서구,기타지역
16019618.75,7629,5,232,61227,21.06666667,강서구,기타지역
2321053,2345,1,40,17149,21.06666667,강서구,기타지역
3000000,4929,2,31,35906,21.06666667,강서구,기타지역
10070218.6,2043,7,222,44650,21.06666667,강서구,기타지역
8159458,2536,2,165,39807,21.06666667,강서구,기타지역
6038445.333,3636,3,186,26004,21.06666667,강서구,기타지역
8600111.4,8952,10,347,183190,21.06666667,강서구,기타지역
14937452,7629,7,232,92829,21.06666667,강서구,기타지역
4467911.5,4856,4,138,143515,21.06666667,강서구,기타지역
6584264.727,269,14,870,49182,21.06666667,강서구,기타지역
4467911.5,4856,4,138,143515,21.06666667,강서구,기타지역
9854641.556,3582,10,5349,57778,21.06666667,강서구,기타지역
3313315,4856,3,138,138166,21.06666667,강서구,기타지역
3313315,4856,3,138,138166,21.06666667,강서구,기타지역
2503521,834,1,41,3442,21.06666667,강서구,기타지역
4696532.333,563,3,128,35385,21.06666667,강서구,기타지역
18012554.2,1129,6,273,97481,21.06666667,강서구,기타지역
2689320.5,4004,4,231,37436,21.06666667,강서구,기타지역
8516207.4,8952,10,347,178153,21.06666667,강서구,기타지역
9585594,1501,2,120,33613,21.06666667,강서구,기타지역
16165901,1904,1,250,2587,21.06666667,강서구,기타지역
14284349.5,1290,10,1079,64681,21.06666667,강서구,기타지역
2750000,834,1,41,3188,21.06666667,강서구,기타지역
7478485,898,4,111,10773,21.06666667,강서구,기타지역
12896029.33,2023,3,390,18267,21.06666667,강서구,기타지역
4587436.667,1550,3,313,17864,21.06666667,강서구,기타지역
14650934.86,1290,9,1079,68380,21.06666667,강서구,기타지역
14650934.86,1290,9,1079,68380,21.06666667,강서구,기타지역
7639238,8273,9,199,86901,21.06666667,강서구,기타지역
3461782,7462,4,117,56172,21.06666667,강서구,기타지역
6603361.909,269,13,870,45453,21.06666667,강서구,기타지역
6791286.6,898,7,111,8664,21.06666667,강서구,기타지역
9304059,8273,6,199,94717,21.06666667,강서구,기타지역
3462500,1550,3,313,15968,21.06666667,강서구,기타지역
4467911.5,4856,4,138,143515,21.06666667,강서구,기타지역
14284349.5,1290,10,1079,64681,21.06666667,강서구,기타지역
3663043,4004,2,231,35703,21.06666667,강서구,기타지역
8600111.4,8952,10,347,183190,21.06666667,강서구,기타지역
