"상권코드","기준년월코드","상권코드명","서비스업종코드.x","서비스업종코드명.x","평균영업개월수","X1년이하생존율","X1.2년생존율","X2.3년생존율","X3.5년생존율","X5년이상생존율","당월매출금액","남성매출비율","여성매출비율","연령대10매출비율","연령대20매출비율","연령대30매출비율","연령대40매출비율","연령대50매출비율","연령대60이상매출비율","남성매출금액","여성매출금액","연령대10매출금액","연령대20매출금액","연령대30매출금액","연령대40매출금액","연령대50매출금액","연령대60이상매출금액","점포수.x","총상주인구수","남성상주인구수","여성상주인구수","연령대10상주인구수","연령대20상주인구수","연령대30상주인구수","연령대40상주인구수","연령대50상주인구수","연령대60이상상주인구수","서비스업종코드.y","서비스업종코드명.y","점포수.y","유사업종점포수","총직장인구수","남성직장인구수","여성직장인구수","연령대10직장인구수","연령대20직장인구수","연령대30직장인구수","연령대40직장인구수","연령대50직장인구수","연령대60이상직장인구수","총유동인구수","남성유동인구수","여성유동인구수","연령대10유동인구수","연령대20유동인구수","연령대30유동인구수","연령대40유동인구수","연령대50유동인구수","연령대60이상유동인구수"
31,201803,"강남대로83길","CS100009","커피음료",60.5,100,100,100,100,100,15699205,53.3,46.7,2,45.8,30.6,12.9,6.5,2.3,5921505,6813407,137795,5108975,4650172,1808660,752995,276316,4,1141,515,626,66,246,338,172,138,181,"CS100009","커피음료",5,5,39,26,13,1,4,11,13,5,5,17250,9271,7980,94,6922,4884,2638,1882,831
32,201803,"강남대로89길","CS100009","커피음료",10,0,0,0,0,0,9791060,42.9,57.1,0.9,44.4,29.3,15.1,7.9,2.4,4036436,4007636,58662,2917984,2433829,1536818,871883,224898,2,152,79,73,11,18,38,35,25,25,"CS100009","커피음료",1,2,121,87,34,0,9,18,16,20,58,70595,34797,35798,3469,26150,20160,9940,6162,4714
33,201803,"강남대로8길","CS100009","커피음료",370.5,66.67,66.67,66.67,66.67,66.67,84752217,49.5,50.5,0.4,26.4,37.2,21.7,9.1,5.2,33529182,31533383,416359,15910076,23577222,15920393,6438201,2800315,13,6807,3353,3454,961,1095,1540,1113,972,1126,"CS100009","커피음료",18,19,3466,1957,1509,4,416,791,932,760,563,177463,102681,74782,4656,34997,45670,38755,32367,21018
35,201803,"강동대로9길","CS100009","커피음료",129,0,0,0,0,0,13191925,43,57,0.4,28,35.4,19.9,11.2,5.1,5109448,6667260,20081,3365221,3963380,2529575,1337870,560580,3,536,260,276,79,84,110,80,76,107,"CS100009","커피음료",5,5,222,90,132,4,33,56,54,41,34,19995,9360,10635,1491,3870,3939,3684,3694,3317
36,201803,"강서로17다길","CS100009","커피음료",75,100,100,0,0,0,64078475,37.1,62.9,3,31.1,34.1,20.8,8.1,3,22867260,37507668,1623714,17454463,19808142,13303040,5881490,2304080,4,7629,3772,3857,1037,1149,1589,1114,1232,1508,"CS100009","커피음료",3,5,232,94,138,0,33,49,57,65,28,61227,28780,32447,3144,11088,14332,10684,10734,11245
37,201803,"강서로18길","CS100009","커피음료",83,100,100,0,0,0,10385346,48.5,51.5,3.5,32.6,25.6,19.6,14.9,3.7,4156316,5523724,662844,3975996,2285961,1500044,981441,273755,3,7462,3641,3821,1233,1075,1454,1273,1008,1419,"CS100009","커피음료",3,4,117,37,80,0,11,21,43,29,13,56172,25316,30855,2757,13294,14109,9713,7745,8554
38,201803,"강서로18다길","CS100009","커피음료",41,100,100,0,0,0,7790678,36.1,63.9,0.7,28.6,44.4,18,6.7,1.5,2498305,4462712,101695,1954237,2946610,1292373,542373,123729,1,1181,546,635,151,144,239,194,175,278,"CS100009","커피음료",2,3,44,11,33,0,1,7,22,13,1,34179,16156,18023,2425,7679,7908,5609,5326,5232
39,201803,"강서로39길","CS100009","커피음료",139,0,0,0,0,0,14089597,48.1,51.9,1.7,43,21.5,14.3,13.1,6.4,6966833,6243902,124390,4639024,2685366,2516260,2287530,958164,3,563,317,246,56,77,76,93,114,147,"CS100009","커피음료",3,3,128,50,78,1,16,16,32,34,29,35385,16810,18575,2242,7959,7138,5580,6456,6009
40,201803,"강서로45길","CS100009","커피음료",438,33.33,0,0,0,0,146988760,39,61,7.1,28.6,24.5,25.4,10.9,3.6,52882871,86353787,8596840,37650057,33784663,37330050,16111557,5763496,11,2935,1425,1510,612,419,448,517,439,500,"CS100009","커피음료",7,11,256,107,149,1,33,47,75,66,34,86432,40861,45571,20866,13855,14466,15401,11921,9922
41,201803,"강서로47가길","CS100009","커피음료",127,100,100,100,100,100,43334033,41.3,58.7,2,16.5,28.1,31.7,14.7,7.1,16496963,23351954,661303,5838103,11025873,12806967,6287931,3228740,6,991,486,505,197,146,127,185,175,161,"CS100009","커피음료",5,5,631,150,481,1,144,211,152,100,23,38477,14972,23506,14521,4304,4934,6563,5171,2984
42,201803,"강서로47길","CS100009","커피음료",301,100,100,100,100,100,62588435,36.9,63.1,9.4,19.3,24,29.8,12.5,5,20979678,36225009,3309699,10132064,15434970,17645652,7789412,2892893,10,2583,1220,1363,506,365,342,491,434,445,"CS100009","커피음료",9,11,211,86,125,0,27,50,72,43,19,54628,22208,32420,18068,7502,7892,9757,6957,4453
43,201803,"강서로48길","CS100009","커피음료",93,100,100,100,100,100,18891729,30.6,69.4,4.5,28.3,28.3,20.8,13.3,4.9,5450461,12022320,827486,4260910,4722873,4119718,2740191,801606,3,1150,543,607,263,160,153,229,180,165,"CS100009","커피음료",2,3,112,59,53,0,12,25,24,37,14,26544,12994,13550,5466,4730,4914,4942,3960,2531
45,201803,"강서로74길","CS100009","커피음료",91,0,0,0,0,0,37396796,51.6,48.4,1.5,28.3,35,21.1,9.9,4.2,16345209,14752274,349234,8177823,11037587,6437404,3784660,1310776,4,224,120,104,28,36,71,38,21,30,"CS100009","커피음료",1,3,3220,1402,1818,33,329,491,696,1250,421,5239,2566,2673,287,1893,1235,730,676,418
46,201803,"강서로8길","CS100009","커피음료",6,0,0,0,0,0,6626630,47.2,52.8,0.7,33.4,38.7,20.8,4.3,2.1,2499404,3611744,39007,2159612,2241466,1081517,336211,253335,2,4856,2345,2511,669,652,967,716,762,1090,"CS100009","커피음료",3,3,138,58,80,0,17,38,39,28,16,138166,70366,67800,8025,26138,31831,26144,25268,20760
47,201803,"개봉로2길","CS100009","커피음료",94,0,0,0,0,0,19051341,48.8,51.2,0.1,15.7,34.7,37.2,10.4,1.8,7638675,10230357,6393,2484130,5734913,7080725,2160587,402284,4,2591,1240,1351,446,323,481,405,379,557,"CS100009","커피음료",3,4,3289,1827,1462,1,62,75,146,410,2595,33201,16432,16769,2457,4715,7056,6286,6303,6384
48,201803,"개봉로3길","CS100009","커피음료",278,50,50,50,50,50,64704292,39.9,60.1,2.4,21.3,34.4,28.7,9.7,3.5,27419127,37285165,1166347,12082660,21454461,18301085,9475387,2224352,11,8859,4342,4517,1415,1173,1410,1473,1435,1953,"CS100009","커피음료",7,11,281,121,160,0,41,41,104,64,31,65969,32669,33300,5196,9913,13934,12923,12681,11324
50,201803,"개포로109길","CS100009","커피음료",37,100,0,0,0,0,46232041,51.1,48.9,1.3,21.9,36.5,24.1,12.5,3.8,21187497,18945990,290198,7634312,15165878,9946733,5387057,1709311,2,573,273,300,86,69,152,90,90,86,"CS100009","커피음료",3,4,11545,9262,2283,115,3872,3699,1965,1366,528,1595,913,683,86,169,301,353,400,286
51,201803,"개포로82길","CS100009","커피음료",52,0,0,0,0,0,40345385,43.4,56.6,3.8,22.4,17.7,25.6,22,8.5,16081897,20968633,1182639,6706334,6119048,10339772,8848563,3854175,3,38,28,10,0,5,12,8,7,6,"CS100009","커피음료",2,4,103,48,55,2,11,16,26,36,12,15729,7212,8516,2926,2071,2118,2848,3152,2614
52,201803,"거북골로16길","CS100009","커피음료",18,0,0,0,0,0,5906912,35.5,64.5,1.1,15.6,25,31.1,20,7.3,2039905,3867007,122770,875758,1339875,1831918,1347098,389493,1,550,290,260,72,76,66,85,104,147,"CS100009","커피음료",1,1,39,23,16,0,2,9,15,7,6,19664,9299,10365,1535,3225,4003,3573,3914,3413
53,201803,"거북골로20길","CS100009","커피음료",152,0,0,0,0,0,63300278,40,60,1.7,33.4,29.8,21.2,9.5,4.5,25644355,37655923,942948,19645935,18031757,13908905,7952914,2817819,5,2557,1214,1343,391,349,378,427,422,590,"CS100009","커피음료",4,4,188,99,89,2,13,32,59,57,25,90468,45544,44924,8696,15377,16212,17438,17359,15386
57,201803,"경기대로9길","CS100009","커피음료",8,0,0,0,0,0,1696979,35.3,64.7,4.6,63.7,13.4,10.8,7.5,0,550690,937679,54452,962591,229070,146285,95971,0,1,625,319,306,78,121,85,98,106,137,"CS100009","커피음료",2,2,598,306,292,2,108,163,142,113,70,62629,33252,29377,10636,19086,9788,9659,7681,5780
60,201803,"경인로22길","CS100009","커피음료",28,0,0,0,0,0,3576837,46.7,53.3,3.8,27.3,33.5,16,14,5.4,1595019,1457071,85239,864899,845478,439715,633012,183747,1,675,354,321,45,183,231,82,56,78,"CS100009","커피음료",0,1,21,12,9,0,0,9,2,4,6,43618,22246,21372,2163,11350,9787,6475,7356,6487
61,201803,"경인로35길","CS100009","커피음료",23,100,100,100,33.33,0,16408921,37.4,62.6,2.6,26.3,24.9,19,18.5,8.7,6087759,10321162,318684,3690882,3824150,3172399,2956937,2445869,3,3474,1777,1697,432,447,420,526,673,976,"CS100009","커피음료",4,4,225,55,170,0,22,47,71,69,16,40264,19671,20594,3455,6515,7037,6437,9765,7056
62,201803,"경인로40길","CS100009","커피음료",19,0,0,0,0,0,19253256,39.6,60.4,5.3,36,27.2,18.3,10.1,3.1,7894542,11358714,814747,6181259,4871814,3964533,2447133,973770,1,1231,583,648,176,122,210,174,176,373,"CS100009","커피음료",1,2,305,225,80,0,40,38,65,75,87,16173,7898,8276,1245,3338,3257,2722,2930,2681
63,201803,"경인로47길","CS100009","커피음료",397.3333333,100,100,100,100,100,124542736,51.4,48.6,10.6,52.8,14.9,12.3,7.2,2.4,59079598,56941101,10604884,53682312,19573966,18076389,10665591,3417558,13,1607,868,739,205,225,238,262,270,407,"CS100009","커피음료",9,17,625,248,377,1,163,161,162,103,35,94934,57858,37075,21967,36201,10155,10766,8951,6894
64,201803,"경인로47다길","CS100009","커피음료",12,0,0,0,0,0,11821350,46.8,53.2,5.3,30.9,28.8,21.3,11.6,2.1,5372960,6448390,533730,3133185,3815642,2852838,1241878,244077,1,1088,565,523,147,161,127,180,186,287,"CS100009","커피음료",0,1,98,62,36,0,7,22,27,22,20,14440,7748,6692,2346,3388,2032,2083,2454,2138
65,201803,"경인로59길","CS100009","커피음료",139,0,0,0,0,0,45056032,41,59,1.3,21.7,30,28,11.4,7.5,16352531,24030492,455403,8306191,12097673,11334248,4905606,3283904,5,561,276,285,73,100,116,107,68,97,"CS100009","커피음료",1,4,154,49,105,0,27,43,43,26,15,36369,16718,19651,2547,6476,8586,7332,6126,5303
69,201803,"경희대로1길","CS100009","커피음료",26,0,0,0,0,0,52865204,34.3,65.7,7,68.6,12.7,4.5,5.6,1.6,19577560,33287644,3123986,36496096,7662925,1808958,3176847,596392,2,322,162,160,25,129,52,28,29,59,"CS100009","커피음료",2,2,24,11,13,3,6,2,3,8,2,47001,21936,25065,6954,26655,4934,3488,2985,1986
70,201803,"경희대로3길","CS100009","커피음료",12,0,0,0,0,0,10953030,46.8,53.2,4.1,62.2,19.7,8.3,1.6,4.1,4869533,6083497,537852,7382545,2222816,430737,142060,237020,1,660,333,327,55,254,118,71,55,107,"CS100009","커피음료",1,1,45,17,28,0,10,6,6,20,3,28147,12624,15523,2893,11701,3853,3416,3234,3049
71,201803,"경희대로4길","CS100009","커피음료",88,100,0,0,0,0,112837371,46.7,53.3,10.3,67.1,8.7,5.9,6.9,1.1,51101554,61735817,12661607,73332971,10005981,7530143,8232960,1073709,6,628,288,340,65,194,97,76,79,117,"CS100009","커피음료",7,10,25,11,14,0,0,11,8,4,2,140841,64724,76117,21749,80692,13878,9766,8415,6340
72,201803,"경희대로6길","CS100009","커피음료",61,0,0,0,0,0,101860249,45.1,54.9,12.1,62.1,9.6,7.4,7.3,1.5,45303712,56556537,13004681,60625202,10346005,8472390,7916237,1495734,6,399,195,204,44,107,70,64,39,75,"CS100009","커피음료",5,8,76,25,51,1,20,17,17,14,7,313908,135231,178677,62844,159814,29863,23097,20090,18201
73,201803,"고덕로10길","CS100009","커피음료",84,0,0,0,0,0,17640354,35,65,2.3,29.8,34.3,22.7,7.3,3.5,5703919,11936435,311325,4767320,6038638,4303619,1516955,702497,3,1408,680,728,234,201,267,236,225,245,"CS100009","커피음료",3,3,48,11,37,0,10,12,16,6,4,24019,12446,11573,1440,4079,5614,4764,4737,3385
74,201803,"고산자로14길","CS100009","커피음료",154,0,0,0,0,0,248266264,49.2,50.8,3.8,29.3,24.9,19.7,14.5,7.8,110223605,114505879,7741176,63929570,54976395,43364246,34009639,20708457,2,330,145,185,20,116,91,41,30,32,"CS100009","커피음료",1,1,139,68,71,2,12,27,42,31,25,72709,33207,39502,3726,25311,15384,11426,10593,6268
75,201803,"고산자로16길","CS100009","커피음료",40,0,0,0,0,0,7653846,48.3,51.7,0,21.5,25.9,26.7,19.8,6,2096154,2662088,0,868132,1403846,1247253,956044,282967,1,58,33,25,3,3,7,8,13,24,"CS100009","커피음료",1,1,94,46,48,2,9,22,33,19,9,15441,7819,7622,697,5525,3023,2345,2415,1437
76,201803,"고산자로2길","CS100009","커피음료",52,100,100,100,100,100,47980420,46.4,53.6,1,16.6,30.8,28.5,16.1,6.9,19451049,23116783,258741,5585315,12391608,13961538,7171329,3199301,2,684,325,359,158,58,131,161,74,102,"CS100009","커피음료",2,2,84,30,54,0,12,10,28,17,17,2498,1160,1338,118,531,702,593,270,283
77,201803,"고산자로31길","CS100009","커피음료",46,0,0,0,0,0,24036469,46.2,53.8,2,41.3,29.9,13.4,9.4,4.1,10501043,11994460,428932,9044510,6608872,3164999,2147923,1100266,1,205,123,82,7,35,13,28,40,82,"CS100009","커피음료",1,2,15,8,7,0,0,3,3,4,5,14275,6824,7450,1359,4368,2761,2024,1972,1792
81,201803,"고산자로6길","CS100009","커피음료",92,0,0,0,0,0,66282397,48,52,2.6,28.8,27.7,24.4,11.6,4.8,25758800,29488128,1316699,13817487,14607137,12815269,8890495,3799844,3,372,192,180,53,54,54,59,59,93,"CS100009","커피음료",3,5,319,148,171,1,47,60,68,69,74,34333,17474,16858,2579,7374,7821,6184,5125,5250
82,201803,"고산자로8나길","CS100009","커피음료",543,50,50,50,50,50,228141080,52.5,47.5,2.1,43.9,23.3,15.3,10.5,4.9,103051755,101578327,3588903,80803228,49774314,33009732,25711492,11742417,12,1939,1006,933,187,299,284,305,350,514,"CS100009","커피음료",13,17,866,454,412,5,136,190,224,207,104,152458,81419,71039,15476,52192,26562,20484,19421,18323
83,201803,"고척로21나길","CS100009","커피음료",81,50,0,0,0,0,21661170,38.5,61.5,1.1,29.7,31.3,21.6,13.8,2.4,7042728,14618442,94878,2191581,8788430,9301104,972416,312761,4,3524,1774,1750,538,469,459,539,618,901,"CS100009","커피음료",3,4,447,131,316,0,68,84,109,137,49,10120,4764,5357,1292,1564,1831,1654,1969,1810
84,201803,"고척로27길","CS100009","커피음료",24,100,100,0,0,0,9507874,35.3,64.7,4.9,31.6,22.3,25,13,3.2,3713549,5794325,388598,2652535,2142655,2518052,1330806,475228,1,2603,1310,1293,367,365,389,427,460,595,"CS100009","커피음료",2,2,90,39,51,0,11,14,29,28,8,74358,37563,36794,5967,13348,13287,14240,16539,10977
86,201803,"고척로33길","CS100009","커피음료",32,100,0,0,0,0,16052333,15,85,0.1,33.3,47.7,16.5,2.1,0.3,2257457,13794876,4936,4627421,7351518,3573926,333311,161221,3,2676,1306,1370,403,413,328,454,474,604,"CS100009","커피음료",3,3,75,17,58,0,11,6,27,25,6,32341,16856,15485,2497,6237,5575,6023,7593,4416
89,201803,"고척로52길","CS100009","커피음료",15,0,0,0,0,0,1307353,21.4,78.6,0,6.9,43.1,28.4,21.6,0,179412,944118,0,220588,256618,491912,154412,0,1,2559,1278,1281,460,358,361,444,420,516,"CS100009","커피음료",1,1,67,41,26,0,2,11,18,20,16,36192,17774,18418,1882,7014,7249,6128,7017,6902
91,201803,"곰달래로31가길","CS100009","커피음료",23,0,0,0,0,0,3663043,26,74,0,5,43.3,46.8,5,0,775789,2887254,0,102462,1851648,1489370,219563,0,1,4004,1988,2016,665,496,729,734,584,796,"CS100009","커피음료",2,2,231,59,172,0,25,61,68,63,14,35703,16165,19537,2549,6590,8355,6549,5755,5904
92,201803,"곰달래로31길","CS100009","커피음료",257,66.67,66.67,0,0,0,86001114,38.2,61.8,1.4,20.7,32.3,27.5,11.2,6.9,28688924,48220517,783284,14696812,23783497,21570772,10634178,5440902,10,8952,4257,4695,1568,1077,1763,1566,1235,1743,"CS100009","커피음료",8,10,347,184,163,0,39,70,85,81,72,183190,85045,98145,12300,45217,42706,30428,25923,26617
93,201803,"곰달래로35길","CS100009","커피음료",23,0,0,0,0,0,3663043,26,74,0,5,43.3,46.8,5,0,775789,2887254,0,102462,1851648,1489370,219563,0,1,4929,2393,2536,859,691,992,866,692,829,"CS100009","커피음료",1,1,31,5,26,0,10,7,6,6,2,36593,15996,20597,1360,7662,11000,6986,4565,5020
94,201803,"곰달래로60길","CS100009","커피음료",101,0,0,0,0,0,57166647,45.1,54.9,4.3,37.7,29.7,16.3,9,2.9,26919131,30247516,3536736,21320129,16686430,9038722,4951563,1633067,4,728,356,372,59,124,146,109,117,173,"CS100009","커피음료",3,7,176,118,58,1,21,31,41,35,47,29533,15279,14254,1995,6478,6140,5523,5331,4067
95,201803,"공릉로12가길","CS100009","커피음료",14,0,0,0,0,0,14156274,56.4,43.6,0.5,15.1,22.3,44.6,9,8.5,7118101,5542697,13818,3215316,2469568,5057870,1011302,892925,2,969,485,484,168,142,129,168,157,205,"CS100009","커피음료",1,1,66,43,23,0,8,21,14,20,3,16738,8621,8117,1172,3792,2907,3934,2964,1968
96,201803,"공릉로12길","CS100009","커피음료",29,0,0,0,0,0,4816629,56.9,43.1,0.8,21.8,25.8,30.3,17.2,4.1,2582259,1865643,22295,918364,1016912,1360959,918561,210812,2,520,252,268,79,73,81,78,88,121,"CS100009","커피음료",2,2,47,31,16,1,8,14,7,13,4,35561,18328,17233,1117,5953,6585,7164,8320,6422
